ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa
DADA,2022-05-16,0.592831,0.002266,0.32143,0.010712
DADA,2022-03-08,0.554486,0.004183,0.37443,0.006396
DADA,2021-06-07,0.593914,0.004135,0.360699,0.007304
DADA,2021-11-23,0.576462,0.003714,0.378017,0.005503
DADA,2021-03-08,0.492359,0.004079,0.341786,0.005666
ANET,2019-08-01,0.28285,0.010384,0.139948,0.007924
ANET,2022-02-14,0.420659,0.012621,0.211915,0.009109
ANET,2020-11-02,0.303412,0.00978,0.166251,0.008022
ANET,2019-05-02,0.007224,0.012714,0.135273,0.007638
ANET,2021-05-04,0.271591,0.011041,0.208397,0.00769
ANET,2020-02-13,0.083234,0.011672,0.070546,0.009637
ANET,2021-11-01,0.304736,0.011686,0.206064,0.008748
ANET,2023-10-30,0.191856,0.010848,0.196693,0.006879
ANET,2020-08-04,-0.052496,0.015136,0.177366,0.007129
ANET,2018-08-02,0.236255,0.008564,0.142889,0.008254
ANET,2019-10-31,0.074648,0.016243,0.051479,0.010955
ANET,2024-02-12,0.413084,0.011966,0.188066,0.005987
ANET,2022-05-02,0.316772,0.016441,0.132889,0.011939
ANET,2021-08-02,0.337217,0.011933,0.151682,0.008195
ANET,2024-07-30,0.330175,0.008342,0.189578,0.00944
ANET,2020-05-05,-0.088032,0.016725,0.153864,0.00993
ANET,2018-11-01,0.377031,0.010382,0.204514,0.008452
ANET,2022-08-01,0.28165,0.011514,0.134017,0.010717
ANET,2019-02-14,0.380824,0.011226,0.2143,0.010827
ANET,2018-05-03,0.122603,0.011364,0.128394,0.006778
ANET,2023-05-01,0.200486,0.009872,0.154641,0.008324
ANET,2023-02-13,0.40113,0.008982,0.137586,0.007479
ANET,2022-10-31,0.227577,0.010922,0.131403,0.012142
ANET,2024-05-07,0.170557,0.009143,0.161104,0.00871
ANET,2023-07-31,0.201131,0.01015,0.200476,0.009656
ANET,2021-02-18,0.302799,0.013209,0.201714,0.010444
BRO,2021-10-26,0.545819,0.013948,0.141331,0.012494
BRO,2021-01-26,0.405311,0.012336,0.137159,0.011895
BRO,2019-04-23,0.208117,0.013703,0.050644,0.013868
BRO,2020-01-28,0.183543,0.012497,0.060532,0.012432
BRO,2018-10-23,0.193927,0.011621,0.069326,0.01022
BRO,2019-07-23,0.280497,0.010309,0.074198,0.012178
BRO,2019-01-29,-0.154385,0.012903,0.101722,0.010682
BRO,2020-10-27,0.359404,0.011335,0.052682,0.016207
BRO,2021-07-27,0.539625,0.012865,0.14323,0.010319
BRO,2020-04-28,0.236323,0.017715,0.050476,0.015851
BRO,2019-10-29,0.198402,0.012843,0.124182,0.013861
BRO,2020-07-28,0.100247,0.015506,0.025474,0.017024
BRO,2021-04-27,0.482975,0.014194,0.181321,0.015015
CAH,2018-11-08,0.478244,0.006607,0.134314,0.008771
CAH,2019-02-07,0.470942,0.007598,0.136151,0.012964
CAH,2019-11-07,0.442995,0.006823,0.055714,0.011675
CAH,2019-05-09,0.438896,0.003824,0.086431,0.008622
CAH,2020-11-05,0.42488,0.008457,0.186881,0.009339
CAH,2020-05-11,0.298026,0.007664,0.118833,0.008742
